State,Avg_Life_Expectancy,IMR,Literacy,Income
Andhra Pradesh,69.8,30,67.4,171000
Arunachal Pradesh,66.6,32,66.95,124385
Assam,65.9,32,72.2,87130
Bihar,69.1,38,61.8,50045
Chhattisgarh,68.7,41,71.0,112480
Delhi,75.5,10,88.7,389143
Goa,68.8,9,88.7,467998
Gujarat,70.7,30,78.0,222000
Haryana,70.0,28,76.6,252451
Himachal Pradesh,71.7,20,83.78,191857
Jammu & Kashmir,73.5,16,77.3,112000
Jharkhand,67.4,29,66.4,82000
Karnataka,71.5,24,75.4,250458
Kerala,75.2,10,96.2,227251
Madhya Pradesh,65.9,48,69.3,111000
Maharashtra,72.0,19,82.3,245929
Manipur,71.0,9,79.85,85178
Meghalaya,66.7,29,75.5,95530
Mizoram,71.0,13,91.33,152840
Nagaland,69.5,12,79.55,102907
Odisha,70.1,40,77.8,100000
Punjab,71.5,19,75.8,173000
Rajasthan,69.6,35,66.1,129000
Sikkim,69.9,17,82.2,410145
Tamil Nadu,72.6,15,80.1,218000
Telangana,69.5,28,66.54,222619
Tripura,71.9,24,87.22,122649
Uttar Pradesh,64.8,43,69.7,71700
Uttarakhand,71.7,27,79.63,204943
West Bengal,70.9,22,77.1,113000
Andaman & Nicobar Islands,72.7,10,86.3,130000
Chandigarh,74.0,8,86.0,303000
Puducherry,74.0,11,85.8,190000
